structure_id,x,y,z,reference_space_id
1,7800,6550,6600,9
10,8725,2200,6700,9
100,8700,5500,5875,9
1000,10200,5925,7150,9
1002,7950,2850,10250,9
1004,7525,6525,6300,9
1005,8025,3025,9725,9
1006,6625,550,7625,9
1007,11150,2700,8075,9
1008,7850,3450,8075,9
1009,7750,4425,7525,9
101,10625,5750,8475,9
1010,6175,4500,10275,9
1011,7550,2375,9950,9
1014,7700,3975,8375,9
1015,4375,2050,6175,9
1016,1050,5500,5875,9
1017,11900,3075,8725,9
1018,7775,3575,10450,9
1020,7300,3725,7050,9
1021,3925,2600,7075,9
1022,6100,4875,8000,9
1023,7800,3575,10250,9
1025,12600,4075,8200,9
1026,5800,2325,7800,9
1027,8450,2275,9925,9
1029,8325,3950,7450,9
1030,5825,750,7600,9
1031,6625,5325,7725,9
1033,12525,4175,7450,9
1035,6025,3400,10025,9
1037,9250,2150,7750,9
1038,6800,2125,8750,9
1039,13000,5175,6025,9
104,3425,4300,8400,9
1041,11050,5375,9425,9
1044,8300,4425,8075,9
1045,8050,4275,9925,9
1046,7725,1100,7275,9
1047,6675,1750,9125,9
1048,11350,6125,6075,9
1049,10475,5200,8950,9
105,9975,6775,6775,9
1052,9675,4475,7000,9
1054,3650,3700,6350,9
1057,4675,4475,9450,9
1058,6375,4500,10075,9
106,11225,5525,7175,9
1060,8900,4575,5875,9
1061,7900,2875,6350,9
1062,7000,2175,8650,9
1065,11225,5650,6750,9
1066,7700,575,7425,9
1069,11200,7275,6400,9
1070,6725,1900,8900,9
10703,8350,2750,7700,9
10704,8475,3075,8400,9
1073,11925,3075,8725,9
1074,8300,1450,9650,9
1077,6625,5275,6150,9
1080,7975,2825,8700,9
1081,3750,3575,6525,9
1083,6450,3275,6350,9
1084,9450,2925,8275,9
1085,4125,2775,7050,9
1086,6725,1000,7650,9
1089,8775,3850,9025,9
1090,6100,3500,9850,9
1092,6575,4275,7925,9
1093,10275,5675,6400,9
1094,5950,1200,7500,9
1097,6900,5850,6525,9
1098,12775,5675,7000,9
1099,6550,2775,7525,9
1100,8025,3200,6975,9
1101,3475,4300,8375,9
1102,4875,3175,8825,9
1105,6525,6300,8525,9
1106,6300,4525,10425,9
1107,12625,6350,6350,9
1109,5150,5775,6350,9
111,6025,5125,9875,9
1111,6750,1100,7400,9
1113,6200,4250,6200,9
1114,8275,1675,9425,9
1117,9550,5300,6575,9
1120,6250,4600,5825,9
1123,11375,5250,7975,9
1125,2900,3525,6625,9
1126,7500,6225,5875,9
1127,8400,3775,10650,9
1128,6050,1400,7400,9
1129,6850,4900,6500,9
113,5875,950,7550,9
1132,10175,5500,7800,9
1139,6100,6800,7875,9
114,10050,6750,7150,9
115,9600,3775,6000,9
117,5425,7050,6025,9
118,6850,6200,5750,9
119,3725,4950,8350,9
12,8575,5000,5800,9
120,5975,5275,10250,9
121,9000,2200,9025,9
122,9825,6875,6975,9
125,6800,6175,7525,9
126,7600,6675,5875,9
127,6125,4525,6450,9
128,8950,4175,6900,9
129,6075,3425,5875,9
131,7325,5200,9375,9
132,3850,3175,6600,9
133,5525,6175,5775,9
135,11850,6650,7100,9
136,11675,6075,6650,9
138,7375,3425,7200,9
14,7200,4600,6525,9
140,10175,3000,5850,9
141,5800,6400,6125,9
143,12150,6700,7050,9
145,11675,4450,6850,9
146,9600,5475,6625,9
147,10725,4300,6700,9
148,4625,4475,9575,9
149,6175,3775,5775,9
15,5850,4525,6075,9
151,1925,3675,6850,9
153,11850,5025,8025,9
154,11500,5075,5950,9
155,6625,3225,7100,9
156,7575,2700,9575,9
157,6450,6300,5775,9
158,8050,3200,5850,9
159,2650,5325,6925,9
162,10400,4050,6200,9
163,5950,5175,10075,9
164,12550,5400,5750,9
165,8775,5200,5800,9
169,11425,5050,5950,9
17,9075,2375,6800,9
170,7600,3225,8000,9
171,2900,2725,5775,9
173,6250,6925,6250,9
177,11875,5400,5950,9
178,7700,4025,8425,9
180,4475,4475,9650,9
181,6275,5200,5850,9
182305689,5825,1775,8550,9
182305693,5675,1325,8800,9
182305697,5725,1525,8700,9
182305701,5750,1775,8600,9
182305705,5925,1925,8450,9
182305709,6025,2200,8300,9
182305713,6175,2300,8150,9
184,2200,2725,6900,9
186,6975,3250,6175,9
187,4675,4475,9375,9
188,2100,3525,6825,9
189,6550,4800,5800,9
19,5050,2800,5850,9
190,11000,7275,6050,9
194,6575,5975,6975,9
196,1700,3875,6900,9
197,8325,4925,5750,9
2,4925,3350,8650,9
201,6650,1475,9175,9
202,11375,4800,6475,9
203,11925,6225,6700,9
204,1950,3700,6875,9
206,10625,6400,5750,9
207,12650,5025,5775,9
209,11175,4700,7225,9
21,2625,5300,7425,9
210,7925,6200,6650,9
211,4275,1925,5925,9
214,8625,4400,6475,9
215,8050,3225,7000,9
217,10925,4475,7250,9
218,7475,3000,7350,9
22,7450,950,8125,9
222,12200,6700,5725,9
223,7025,7025,5925,9
225,11600,4900,7050,9
226,5325,6300,6700,9
229,11325,6100,8025,9
23,5825,6400,7925,9
230,12125,7100,5750,9
231,9750,4650,6025,9
233,8275,1825,9325,9
234,8650,3600,10525,9
235,12425,7075,6875,9
237,12675,5250,6275,9
238,10325,5250,5850,9
239,6350,3500,6900,9
242,4900,4075,6250,9
243,7700,2675,9475,9
246,9050,4525,7100,9
247,7950,2875,10225,9
249,8425,2500,9625,9
250,5325,3075,6275,9
251,7925,2775,10475,9
252,7600,2500,9775,9
254,7875,675,6450,9
255,6050,3875,6775,9
257,8275,1100,7325,9
258,4500,4500,6275,9
26,9350,2425,6575,9
260,6075,7175,7775,9
262,6250,4350,7625,9
263,5125,6775,6225,9
266,5250,4575,6300,9
269,10150,2125,9075,9
27,7725,3750,8275,9
271,9475,3800,7500,9
272,5225,6575,5925,9
274,7825,900,6625,9
275,4725,4225,6225,9
278,6700,6025,8050,9
279,7525,1150,6850,9
280,10625,4350,6400,9
281,7675,400,7425,9
286,5975,6825,5875,9
287,5425,5125,6250,9
288,2725,3800,6475,9
289,8350,3800,10350,9
290,6525,5925,6950,9
292,6400,6650,7600,9
294,9050,2375,6750,9
295,7225,5925,9100,9
296,4850,2450,5900,9
298,5300,6650,7400,9
30,6075,6275,5775,9
301,7300,4350,8650,9
302,9250,1400,6375,9
303,6800,5825,8900,9
304,3025,2750,5925,9
305,8775,1625,8175,9
307,11075,6925,6125,9
31,4625,2275,6075,9
310,5375,3800,6150,9
311,7600,5875,9175,9
312782546,7275,900,7750,9
312782550,7250,550,7875,9
312782554,7250,725,7775,9
312782558,7300,900,7825,9
312782562,7300,1025,7675,9
312782566,7350,1200,7650,9
312782570,7400,1325,7650,9
312782574,9075,2150,9625,9
312782578,9150,1950,9875,9
312782582,9150,2050,9750,9
312782586,9075,2100,9650,9
312782590,9050,2250,9550,9
312782594,9000,2375,9375,9
312782598,8950,2450,9325,9
312782604,7800,950,8950,9
312782608,7825,1100,8875,9
312782612,7825,1250,8800,9
312782616,7850,1400,8700,9
312782620,7850,1550,8575,9
312782624,7875,1650,8550,9
312782628,9550,2700,9850,9
312782632,9725,2575,10075,9
312782636,9625,2700,10000,9
312782640,9450,2600,9875,9
312782644,9525,2775,9750,9
312782648,9375,2900,9600,9
312782652,9275,2900,9525,9
313,9275,3050,6600,9
314,6200,4925,9650,9
315,5475,2000,8500,9
318,10850,4925,6000,9
319,7000,6400,8475,9
320,4000,1800,8175,9
321,7675,4550,8275,9
322,5750,2025,8750,9
323,9150,3200,6675,9
325,8150,3475,7800,9
326,10300,4125,6900,9
328,3250,4425,8600,9
329,6725,1775,9050,9
33,9000,1550,8175,9
330,7550,1075,6600,9
331,7950,6125,6100,9
332,5850,6350,6325,9
333,4325,4025,5875,9
335,8125,4550,10000,9
337,6050,1250,7475,9
338,5900,3450,5800,9
339,10475,2125,7025,9
341,7925,5500,5900,9
342,5300,6075,7275,9
343,9200,4625,6700,9
344,6050,5050,9825,9
345,4650,3025,9100,9
347,6175,6300,5850,9
348,8875,4975,5825,9
35,9125,3800,5900,9
350,10325,4575,6725,9
351,5525,5250,6675,9
353,5700,2475,9275,9
354,11775,5900,6875,9
355,6700,4825,9525,9
356,7100,5750,7050,9
358,10275,4450,6550,9
36,4475,4525,9775,9
361,6725,950,7500,9
362,6800,3925,6150,9
363,3150,2800,6175,9
364,7550,5800,6825,9
366,6775,4925,6025,9
368,8400,4400,10000,9
369,5450,1675,8100,9
370,11625,6075,6575,9
372,11525,4125,7200,9
374,8750,4825,7025,9
375,8075,3500,8725,9
377,9800,2350,8900,9
378,6200,3525,9975,9
379,10725,6600,5725,9
38,6050,5675,5875,9
380,12975,5075,6825,9
381,8475,5225,7350,9
382,8100,2575,8900,9
385,9075,1250,8325,9
386,12225,5700,7675,9
388,12975,5250,5800,9
39,4400,2000,6100,9
390,5975,6650,7100,9
393,9625,2475,9000,9
394,7725,750,7350,9
395,12850,6025,6650,9
397,8625,4875,5925,9
398,9975,6800,7000,9
4,10475,2125,7025,9
401,7700,700,7350,9
402,8300,1700,9400,9
403,6975,6225,7900,9
406,7975,4425,7150,9
409,9150,1875,9300,9
41,8425,550,7400,9
412,2775,4000,7200,9
413,10650,5600,8125,9
414,7325,4975,6000,9
417,7825,1275,8800,9
42,9300,2450,6350,9
421,9200,1600,9525,9
422,8050,4425,7400,9
423,7675,2825,8950,9
425,10075,2200,9025,9
427,8100,4300,10500,9
429,12825,5900,7600,9
430,7750,1150,5850,9
433,7700,875,7325,9
434,7850,400,6400,9
436,5750,5275,6275,9
437,12125,5950,7775,9
44,3575,3625,6050,9
440,3375,3625,7250,9
441,7725,1200,7300,9
442,8100,250,6425,9
443,8500,1675,7350,9
444,6775,3950,6100,9
445,11475,6175,7725,9
448,2500,4000,7200,9
449,5850,3150,5925,9
450,5225,1275,8375,9
451,7325,6525,8950,9
452,5075,5975,5800,9
453,5825,2300,9125,9
456,8425,2550,9550,9
46,7600,5425,6200,9
460,10400,4100,6675,9
461,6900,1425,7375,9
463,8100,3925,8875,9
466,7425,3275,8550,9
467,7350,5975,6200,9
469,8275,1225,7300,9
470,7300,5400,7400,9
475,8450,3800,8075,9
477,4900,4650,7675,9
478,6175,1675,7325,9
48,4825,2475,6025,9
482,9325,3150,7975,9
483,6875,3025,5925,9
484,2600,3525,5750,9
485,5250,4200,8250,9
488,3650,3900,7150,9
491,7975,6150,6025,9
493,4325,6125,7100,9
494,8150,2650,6400,9
50,7650,3300,6075,9
500,3900,2225,7450,9
501,8300,700,7400,9
502,9275,4075,9350,9
503,8225,3250,6550,9
507,1275,4625,6600,9
51,7025,4075,6600,9
510,6325,1825,7300,9
511,8250,3000,6125,9
512,12100,3275,7750,9
514,12975,5075,6825,9
515,5500,6425,6050,9
519,11600,3900,7500,9
520,7675,3650,9925,9
523,5275,6300,6250,9
525,7975,5725,6225,9
526157192,2375,2750,6875,9
526157196,2975,2900,7000,9
526322264,3450,3150,6975,9
527,7475,2200,10275,9
527696977,3525,3525,6675,9
528,12100,3275,7750,9
530,5575,3025,5800,9
531,7875,2925,6000,9
533,8400,750,7300,9
534,10275,4650,7200,9
536,6550,5700,8425,9
540,7925,4800,10650,9
541,8500,3725,10475,9
542,7950,1125,5750,9
549,6950,4000,6925,9
556,3475,3750,5850,9
557,7750,6600,6475,9
558,5500,2150,9725,9
56,4300,5925,6875,9
564,4800,4900,5875,9
565,8350,850,7300,9
566,8375,6300,9475,9
567,5525,3575,8300,9
571,5825,4475,5925,9
573,9125,1825,9325,9
574,9400,6150,6200,9
575,6900,3625,6625,9
576,10575,6350,6825,9
577,5400,1700,8175,9
580,8925,3625,7775,9
581,5500,3675,5975,9
582,2750,3600,5875,9
583,5075,5050,9150,9
587,8425,4000,5950,9
588,4675,2425,5775,9
589,3375,4950,6000,9
59,7025,4125,5750,9
590,8050,1250,6425,9
591,8975,4775,5825,9
593,9250,875,8450,9
595,7550,3975,6125,9
596,4575,6500,6175,9
598,7875,3625,9875,9
599,6800,4575,5825,9
6,6650,4700,8050,9
600,7500,2300,10125,9
601,8225,1950,9175,9
603,6275,3050,7450,9
604,10475,4925,6000,9
607,10925,5475,8400,9
608,3250,3425,6800,9
609,7500,4400,5850,9
610,7950,600,6475,9
611,7450,2700,6025,9
612,9375,5225,7600,9
613,9050,1950,9225,9
614,6900,6825,6725,9
616,10000,3600,6975,9
618,8275,1575,7275,9
619,6125,6900,7800,9
62,11825,6000,5750,9
620,2925,3500,6100,9
621,10200,5325,7350,9
622,7250,1275,6325,9
623,5125,5075,7800,9
625,5525,1900,8050,9
628,8125,2525,6800,9
629,6450,4350,6925,9
63,6450,5625,6175,9
630,3050,3875,7300,9
631,7625,6750,8350,9
632,8275,2900,8100,9
633,10225,2000,5950,9
634,7850,3450,6400,9
637,6900,4575,7325,9
638,4825,4450,9150,9
639,6250,7175,8200,9
64,6125,3475,6500,9
642,9875,6775,6375,9
643,8450,2150,10050,9
645,11825,2475,6625,9
647,7725,6675,8400,9
648,4150,2425,7950,9
649,8250,2025,9100,9
651,12300,5150,6500,9
653,10775,5250,6100,9
654,5675,2350,9375,9
656,3100,1625,7000,9
657,4425,2850,9350,9
658,9600,4825,7450,9
66,8125,4675,7950,9
661,10875,6800,7075,9
662,4875,4425,9000,9
665,2625,5300,7425,9
667,2075,2725,6900,9
669,9025,1375,8600,9
67,8350,4150,6025,9
670,6625,750,7525,9
671,8375,300,6950,9
672,5250,4200,8250,9
673,8150,5800,6400,9
675,3975,4700,8150,9
677,6350,4500,10225,9
678,7550,2375,9950,9
679,9550,5150,5875,9
68,1925,2650,6700,9
680,3450,3575,6800,9
681,8550,4625,5850,9
685,6800,5050,6700,9
687,8000,1275,6100,9
688,5575,2450,9150,9
689,5375,6975,6550,9
690,7100,5350,6275,9
692,7825,4750,10125,9
693,6875,6675,6225,9
694,3650,5150,8575,9
695,5650,2225,8950,9
696,8475,2075,10175,9
697,8775,5475,6425,9
698,2950,5225,7200,9
699,3925,4300,7900,9
7,10250,5650,7775,9
701,11325,4875,6800,9
702,5775,2525,9225,9
703,6825,6000,8975,9
704,3275,5075,8500,9
705,10500,4300,6700,9
706,7850,2625,6225,9
707,3475,3775,5750,9
709,7000,4300,7575,9
711,12800,5125,6550,9
714,2950,3700,6750,9
718,7000,4500,7825,9
72,5125,5675,6025,9
720,12825,5125,6500,9
721,8975,1175,8325,9
723,3025,3850,7200,9
725,7425,4725,7025,9
726,8400,3275,8250,9
728,11575,3475,7525,9
729,8050,3925,10075,9
73,7575,2575,6375,9
731,2875,3550,6000,9
733,7025,4150,7525,9
735,7975,2675,10600,9
737,5750,5275,6275,9
74,9050,2125,9075,9
741,7350,4675,6550,9
746,2750,3675,6575,9
749,8175,5325,6400,9
750,10300,2100,9025,9
752,10875,4700,8000,9
753,7775,5800,6225,9
754,4350,7075,7275,9
755,7775,3550,10650,9
757,9925,4450,6025,9
759,8450,2275,9950,9
763,4950,6675,5800,9
765,11450,5250,7475,9
767,3500,2175,7000,9
768,6500,2825,7525,9
771,10125,5550,6750,9
772,4800,2500,6100,9
773,12425,5575,5950,9
774,7925,700,6925,9
776,6100,2325,7825,9
778,8975,1350,8250,9
78,9425,5550,7900,9
780,7825,6175,8150,9
781,11375,4500,7625,9
783,3800,4150,8150,9
784,7325,5125,7975,9
786,8500,3750,10050,9
788,7275,7175,8725,9
791,8400,2350,9775,9
792,8775,5475,6425,9
794,11325,6100,8025,9
795,9500,3100,6175,9
797,7550,4975,7350,9
798,10675,5325,6700,9
8,7475,3975,7625,9
800,3750,4825,8300,9
802,5900,3900,6275,9
803,5525,5750,7125,9
804,7700,4925,6825,9
805,8400,400,7425,9
806,6175,3350,10250,9
809,5500,5200,6700,9
81,5825,3050,7025,9
810,4875,2475,6350,9
814,3550,4375,6175,9
816,7950,2825,10350,9
818,6125,4900,8025,9
819,5050,2500,6425,9
821,9050,975,8325,9
822,9500,4325,9225,9
824,5975,3750,6275,9
826,4425,5825,5875,9
827,3525,3675,6075,9
83,12000,7075,6075,9
830,6975,5975,6050,9
831,4050,4225,8175,9
832,11725,6000,5775,9
835,5225,6250,7250,9
836,8025,4400,10675,9
838,5550,2225,9550,9
839,12600,5275,6025,9
84,3500,3000,6550,9
840,1500,5350,7400,9
841,10775,6200,8150,9
842,9225,1350,6450,9
843,9425,3925,8575,9
844,4425,2675,7750,9
846,11200,4250,8250,9
847,7950,2925,10125,9
848,6225,6775,6975,9
849,6525,4425,9625,9
851,9100,1625,6425,9
852,11625,6025,7175,9
854,5325,1450,8250,9
856,7000,3800,6525,9
857,6450,4450,9775,9
859,12750,5025,6125,9
862,6125,3675,9575,9
863,10225,6150,7225,9
864,7225,4250,7500,9
867,10225,4000,7250,9
869,10075,2200,9000,9
872,9625,3750,5750,9
873,5950,3275,10375,9
874,9425,3775,7850,9
877,9425,4975,6200,9
878,4450,2675,9525,9
879,7925,475,6500,9
88,6100,6275,6275,9
880,10450,4175,5900,9
882,4600,2800,7600,9
884,6750,5475,9350,9
886,8050,1125,6075,9
888,7875,4775,10425,9
889,5850,2750,8975,9
893,6400,3675,9450,9
894,7975,600,6925,9
895,8025,4325,10325,9
896,6575,4275,7925,9
897,6275,4575,10600,9
898,10600,4550,6200,9
9,6825,1350,7375,9
900,3200,5175,6825,9
901,11275,6100,8025,9
902,9950,2250,9000,9
903,12475,4825,7150,9
904,4425,5850,5875,9
905,8275,1550,9525,9
906,7725,975,6900,9
907,6775,4400,6400,9
908,5300,5475,7200,9
909,9550,4900,9825,9
91,11575,3925,7625,9
910,3250,3450,6450,9
911,10150,3575,6650,9
912,11500,4100,6025,9
914,5450,5800,6225,9
917,12675,5250,6275,9
918,9175,5025,10050,9
919,4600,2250,6475,9
920,10950,3025,6325,9
922,7925,4725,10275,9
924,8400,5675,7425,9
926,9850,4225,9050,9
927,4925,2325,6575,9
928,11600,2300,6750,9
929,5950,2925,8825,9
93,9325,5950,7550,9
930,7550,3900,6550,9
931,8925,6450,6350,9
932,8775,5475,6425,9
933,9675,4825,7500,9
934,8725,6375,8725,9
935,4350,1875,5775,9
936,12350,2125,6550,9
938,11875,6850,6825,9
939,11650,6550,7125,9
940,6400,1650,6650,9
942,5950,5625,9150,9
943,4100,2025,8075,9
944,12925,2900,6300,9
945,5600,2225,7950,9
946,7575,5475,5900,9
948,9700,4575,7525,9
949,2300,3775,6575,9
95,4150,4700,8875,9
950,4600,2875,9200,9
951,12850,3500,6200,9
952,5750,5425,9250,9
954,7975,3000,9825,9
957,12650,4350,6250,9
958,6925,3200,6025,9
959,7875,3525,10800,9
96,11325,5025,8250,9
960,11200,3625,7650,9
961,5725,6275,9050,9
962,3275,1875,7225,9
965,8025,475,6975,9
966,6475,6350,8975,9
967,2500,5850,5825,9
968,11900,4275,6375,9
969,2475,3800,6400,9
97,8575,3675,10775,9
970,11400,5425,6025,9
972,3150,2775,6025,9
973,9150,1700,9425,9
974,4650,3050,9075,9
975,8725,4075,5750,9
977,7900,4350,10000,9
978,11825,7075,6825,9
980,7575,6150,6250,9
981,6575,1350,9300,9
982,7125,2250,5875,9
983,6375,2450,8250,9
985,4200,2325,7900,9
987,10250,5675,6475,9
988,7900,4350,10225,9
989,11750,3725,6650,9
990,7675,3575,10475,9
991,6400,2825,7325,9
993,3525,2125,7075,9
996,2950,4375,8450,9
997,6875,3825,7975,9
998,5275,6075,7975,9
1,7800,6550,4790,10
10,8725,2200,4690,10
100,8700,5500,5515,10
1000,10200,5925,4240,10
1002,7950,2850,1140,10
1004,7525,6525,5090,10
1005,8025,3025,1665,10
1006,6625,550,3765,10
1007,11150,2700,3315,10
1008,7850,3450,3315,10
1009,7750,4425,3865,10
101,10625,5750,2915,10
1010,6175,4500,1115,10
1011,7550,2375,1440,10
